,pf,row,visible,x,y,z,labeled,x_proj,y_proj,x_proj_rotated,y_proj_rotated,x_pixel,y_pixel
0,0.0,0.0,1.0,-13.048389746847812,-0.20500003501676117,0.0,False,0.0,-13.048389746847812,-12.628802424671884,3.2823504237428156,54,93
1,1.0,0.0,1.0,-12.01881664035411,5.084343277705308,1.081,False,1.081,-12.01881664035411,-11.904264399749497,1.9771200103457567,54,93
2,2.0,0.0,1.0,-8.939993149471702,9.506788231963466,2.162,False,2.162,-8.939993149471702,-9.196372204295853,0.1563962680359614,54,93
3,3.0,0.0,1.0,-4.336869476117465,12.30829245456577,3.243,False,3.243,-4.336869476117465,-5.013195608713191,-2.0477684541124646,54,93
4,4.0,0.0,1.0,1.0057056513123304,13.011189651331598,4.324,False,4.324,1.0057056513123304,-0.1143455471066841,-4.437943775324156,54,93
5,5.0,0.0,1.0,6.176804438416414,11.495633385314585,5.404999999999999,False,5.404999999999999,6.176804438416414,4.61854221076021,-6.784983855387343,54,93
6,6.0,0.0,1.0,10.294736408146893,8.020031314575697,6.486,False,6.486,10.294736408146893,8.33212904990303,-8.867097563971381,54,93
7,7.0,0.0,1.0,12.65737971903035,3.1769857803079886,7.567,False,7.567,12.65737971903035,10.34687073643218,-10.50766464611829,54,93
8,8.0,0.0,1.0,12.861895401317877,-2.2077469704560833,8.648,False,8.648,12.861895401317877,10.272882092435472,-11.605350095079448,54,93
9,9.0,0.0,1.0,10.873412813990289,-7.216051120699728,9.729,False,9.729,10.873412813990289,8.076413786049226,-12.15138212632465,54,93
10,10.0,0.0,1.0,7.0309752113351545,-10.99399324984287,10.809999999999999,False,10.809999999999999,7.0309752113351545,4.08560671089213,-12.23104779756512,54,93
11,11.0,0.0,1.0,1.9897316791445576,-12.897420976497921,11.891,False,11.891,1.9897316791445576,-1.0654571870109175,-12.00915126633178,54,93
12,12.0,0.0,1.0,-3.390768081868693,-12.601793198389686,12.972,False,12.972,-3.390768081868693,-6.544868104604696,-11.701914103186178,54,93
13,13.0,0.0,1.0,-8.193129994284416,-10.157515488383812,14.052999999999999,False,14.052999999999999,-8.193129994284416,-11.464731920539677,-11.540108755700768,54,93
14,14.0,0.0,1.0,-11.598534511263969,-5.981345767552536,15.134,False,15.134,-11.598534511263969,-15.032559256501376,-11.729711036882202,54,93
15,0.0,1.0,1.0,-13.03656504906614,-0.5920065214734681,7.990624891456413,False,7.990624891456413,-13.03656504906614,-14.62741679260381,-4.454300440018358,54,93
16,1.0,1.0,1.0,-12.164360048521779,4.725552307395111,9.071624891456413,False,9.071624891456413,-12.164360048521779,-14.055186504998906,-5.7199445688801,54,93
17,2.0,1.0,1.0,-9.218089002109075,9.23738789643456,10.152624891456412,False,10.152624891456412,-9.218089002109075,-11.475584364072457,-7.507324459518206,54,93
18,3.0,1.0,1.0,-4.700101455132076,12.17421645575046,11.233624891456413,False,11.233624891456413,-4.700101455132076,-7.3748062360462825,-9.690073006497764,54,93
19,4.0,1.0,1.0,0.619269872112955,13.035298417201394,12.314624891456413,True,12.314624891456413,0.619269872112955,-2.4984138273548204,-12.07441136201127,54,93
20,5.0,1.0,1.0,5.833053514526609,11.673816286744826,13.395624891456412,False,13.395624891456412,5.833053514526609,2.2757862008142764,-14.432188908967383,54,93
21,6.0,1.0,1.0,10.052281077544805,8.321907542026327,14.476624891456414,False,14.476624891456414,10.052281077544805,6.087411346517454,-16.539783741276405,54,93
22,7.0,1.0,1.0,12.557559465818361,3.551084378388612,15.557624891456413,False,15.557624891456413,12.557559465818361,8.240201500798918,-18.216230983028836,54,93
23,8.0,1.0,1.0,12.921729928715163,-1.8252111245954148,16.638624891456413,False,16.638624891456413,12.921729928715163,8.320733737890691,-19.354077934439903,54,93
24,9.0,1.0,1.0,11.082700125249765,-6.890301730242935,17.719624891456412,False,17.719624891456412,11.082700125249765,6.268912373834535,-19.9377051339746,54,93
25,10.0,1.0,1.0,7.354031085964923,-10.78057172819056,18.800624891456412,False,18.800624891456412,7.354031085964923,2.3882154913385127,-20.04598953131323,54,93
26,11.0,1.0,1.0,2.3714739576380577,-12.832716441511693,19.88162489145641,True,19.88162489145641,2.3714739576380577,-2.7060491375521565,-19.83885569082773,54,93
27,12.0,1.0,1.0,-3.0154277966764242,-12.696838000188517,20.962624891456414,False,20.962624891456414,-3.0154277966764242,-8.191656184330753,-19.530008092537816,54,93
28,13.0,1.0,1.0,-7.88818853725017,-10.396104154960884,22.04362489145641,False,22.04362489145641,-7.88818853725017,-13.179655065893343,-19.350493768855447,54,93
29,14.0,1.0,1.0,-11.415985470171204,-6.3227980945812225,23.124624891456413,False,23.124624891456413,-11.415985470171204,-16.865939136302035,-19.50930797533016,54,93
30,0.0,2.0,1.0,-13.013264526915792,-0.9784918765708046,15.981249782912826,False,15.981249782912826,-13.013264526915792,-16.614924355679047,-12.19383807200995,54,93
31,1.0,2.0,1.0,-12.299195416730395,4.362601529028072,17.062249782912826,False,17.062249782912826,-12.299195416730395,-16.195744900731512,-13.419702778521582,54,93
32,2.0,2.0,1.0,-9.488070357560655,8.959856075293775,18.143249782912825,False,18.143249782912825,-9.488070357560655,-13.746942958487889,-15.173086406241403,54,93
33,3.0,2.0,1.0,-5.059196029959997,12.0294237405803,19.224249782912825,False,19.224249782912825,-5.059196029959997,-9.732412502608547,-17.333418331779093,54,93
34,4.0,2.0,1.0,0.23228896217841774,13.047932473692914,20.305249782912824,False,20.305249782912824,0.23228896217841774,-4.883009708976272,-19.710741819892895,54,93
35,5.0,2.0,1.0,5.484167871681784,11.841722963961505,21.386249782912827,False,21.386249782912827,5.484167871681784,-0.0719394147647856,-22.07810231298263,54,93
36,6.0,2.0,1.0,9.800976927355936,8.616458162692867,22.467249782912827,False,22.467249782912827,9.800976927355936,3.83412936842664,-24.210243979037635,54,93
37,7.0,2.0,1.0,12.446685047158146,3.922057028760513,23.548249782912826,True,23.548249782912826,12.446685047158146,6.122833560258485,-25.922016620914672,54,93
38,8.0,2.0,1.0,12.970189718776092,-1.4410685823217904,24.629249782912826,False,24.629249782912826,12.970189718776092,6.357576414941359,-27.09994443422971,54,93
39,9.0,2.0,1.0,11.282231559889183,-6.55848694662423,25.710249782912825,True,25.710249782912825,11.282231559889183,4.451968797436794,-27.721574029938807,54,93
40,10.0,2.0,1.0,7.670613355866248,-10.557660287431412,26.791249782912825,False,26.791249782912825,7.670613355866248,0.6845588339280368,-27.85930281590893,54,93
41,11.0,2.0,1.0,2.7511286756023607,-12.75671552596037,27.872249782912824,False,27.872249782912824,2.7511286756023607,-4.348661520498026,-27.668034984995685,54,93
42,12.0,2.0,1.0,-2.6374330914232855,-12.780706032464144,28.953249782912827,False,28.953249782912827,-2.6374330914232855,-9.835875200199034,-27.3587698069483,54,93
43,13.0,2.0,1.0,-7.576303267493806,-10.625541341454687,30.034249782912823,False,30.034249782912823,-7.576303267493806,-14.887857685523693,-27.16262551299173,54,93
44,14.0,2.0,1.0,-11.223387168114527,-6.658684590412892,31.115249782912827,False,31.115249782912827,-11.223387168114527,-18.68959290171698,-27.291432826924726,54,93
45,0.0,3.0,1.0,-12.978508691374847,-1.3641158850726665,23.97187467436924,False,23.97187467436924,-12.978508691374847,-18.591344965319475,-19.93625731265144,54,93
46,1.0,3.0,1.0,-12.423204052134228,3.995810440828709,25.05287467436924,False,25.05287467436924,-12.423204052134228,-18.325824710818765,-21.122184476018575,54,93
47,2.0,3.0,1.0,-9.749699556703332,8.674437074186361,26.13387467436924,False,26.13387467436924,-9.749699556703332,-16.01021797064593,-22.840949355795722,54,93
48,3.0,3.0,1.0,-5.413837096914642,11.874041767152026,27.214874674369238,False,27.214874674369238,-5.413837096914642,-12.085708469423526,-24.97788394651672,54,93
49,4.0,3.0,1.0,-0.15489642702828255,13.04908069930192,28.295874674369237,False,28.295874674369237,-0.15489642702828255,-7.267803494582673,-27.34702084057509,54,93
50,5.0,3.0,1.0,5.130454626852318,11.999205612114897,29.37687467436924,False,29.37687467436924,5.130454626852318,-2.4243373947375986,-29.722801323365605,54,93
51,6.0,3.0,1.0,9.541045175537619,8.90342388962529,30.45787467436924,False,30.45787467436924,9.541045175537619,1.5724972200473104,-31.87853392510666,54,93
52,7.0,3.0,1.0,12.324854063556492,4.2895771717076,31.53887467436924,False,31.53887467436924,12.324854063556492,3.994861376851076,-33.62504611139259,54,93
