,diameter,lat_dimer_distances,long_dimer_distance,n_pf,n_rows,pitch,skew_angle
0,20.03999490441109,5.7112449617245,8.0,11,250,1518.7068178816057,-2.3636135831678047
1,21.68,5.680856452551128,8.0,12,500,2999.2267625802237,-1.3008965529916787
2,23.247045969145482,5.658835674785841,7.999999999999997,13,400,,-0.02915000110951266
3,24.96,5.633845763062909,7.999999999999998,14,1200,5535.445124576854,0.811224319236134
4,26.59999979742942,5.597224875980118,8.0,15,400,1685.9452883957006,-2.827293595349283
